Left Wall

type:Obstacle; X:5; Y:5
type:Obstacle; X:230; Y:185
type:Obstacle; X:230; Y:170
type:Obstacle; X:230; Y:155

Bottom of RightBottom Obstacle

type:Obstacle; X:245; Y:215
type:Obstacle; X:260; Y:215
type:Obstacle; X:275; Y:215
type:Obstacle; X:290; Y:215
type:Obstacle; X:305; Y:215
type:Obstacle; X:320; Y:215
type:Obstacle; X:335; Y:215

RightSide of RightBottom Obstacle

type:Obstacle; X:335; Y:200
type:Obstacle; X:335; Y:185
type:Obstacle; X:335; Y:170
type:Obstacle; X:335; Y:155

Up of RightBottom Obstacle

type:Obstacle; X:320; Y:155
type:Obstacle; X:305; Y:155
type:Obstacle; X:290; Y:155
type:Obstacle; X:275; Y:155
type:Obstacle; X:260; Y:155
type:Obstacle; X:245; Y:155

MiddleLeft Obstacle

type:Obstacle; X:35; Y:125
type:Obstacle; X:50; Y:125
type:Obstacle; X:65; Y:125
type:Obstacle; X:80; Y:125
type:Obstacle; X:95; Y:125
type:Obstacle; X:110; Y:125
type:Obstacle; X:125; Y:125
type:Obstacle; X:140; Y:125

MiddleRight Obstacle

type:Obstacle; X:230; Y:125
type:Obstacle; X:245; Y:125
type:Obstacle; X:260; Y:125
type:Obstacle; X:275; Y:125
type:Obstacle; X:290; Y:125
type:Obstacle; X:305; Y:125
type:Obstacle; X:320; Y:125
type:Obstacle; X:335; Y:125

CenterObstacle

type:Obstacle; X:170; Y:125
type:Obstacle; X:200; Y:125

LeftSide of MiddleUp Obstacle

type:Obstacle; X:170; Y:35
type:Obstacle; X:170; Y:50
type:Obstacle; X:170; Y:65
type:Obstacle; X:170; Y:80
type:Obstacle; X:170; Y:95

BottomSide of MiddleUp Obstacle

type:Obstacle; X:185; Y:95
type:Obstacle; X:200; Y:95

RightSide of MiddleUp Obstacle

type:Obstacle; X:200; Y:80
type:Obstacle; X:200; Y:65
type:Obstacle; X:200; Y:50
type:Obstacle; X:200; Y:35

UpperSide of MiddleUp Obstacle

type:Obstacle; X:185; Y:35

LeftSide of MiddleBottom Obstacle

type:Obstacle; X:170; Y:155
type:Obstacle; X:170; Y:170
type:Obstacle; X:170; Y:185
type:Obstacle; X:170; Y:200
type:Obstacle; X:170; Y:215

BottomSide of MiddleBottom Obstacle

type:Obstacle; X:185; Y:215
type:Obstacle; X:200; Y:215

RightSide of MiddleBottom Obstacle

type:Obstacle; X:200; Y:200
type:Obstacle; X:200; Y:185
type:Obstacle; X:200; Y:170
type:Obstacle; X:200; Y:155

UpperSide of MiddleBottom Obstacle

type:Obstacle; X:185; Y:155













